Id	City	State Id	Population	Area	Density	Latitude	Longitude
341	Mount Vernon	79	68458	34	545	38.3136	-88.9081
342	Dothan	325	68409	224.3	284	31.2272	-85.4072
343	Frederick	106	68400	59.41	2966	39.4138	-77.4111
345	Waterloo	164	68364	159	430	42.4925	-92.3461
346	Redondo Beach	1	68149	16	4200	33.8563	-118.3769
347	Pittsburg	1	68140	44.5	1300	38.028	-121.8847
348	St. Charles	409	68090	61.2	1074	38.7886	-90.5117
349	Yorba Linda	1	67826	50.4	1200	33.8885	-117.8132
350	Eau Claire	407	67684	82.9	793	44.8166	-91.5123
351	Walnut Creek	1	67673	51.1	1300	37.9063	-122.0651
352	Bossier City	405	67472	284	533	32.5177	-93.6913
353	Jackson	2	67319	128.2	508	35.633	-88.8208
354	Kenner	405	67064	39	1798	30.0097	-90.2505
355	South San Francisco	1	67009	23.6	2687	37.6561	-122.4255
356	Palo Alto	1	66955	61.8	960	37.4291	-122.138
357	Maple Grove	395	66945	84.5	728	45.0725	-93.4555
358	Camarillo	1	66923	50.5	1300	34.2333	-119.0333
360	Gaithersburg	106	66816	26.4	2268	39.1319	-77.2263
361	North Little Rock	393	66810	116.1	520	34.7808	-92.2569
362	Woodbury	395	66807	89.9	688	44.9188	-92.9366
363	Davis	1	66742	25.6	2600	38.5538	-121.738
364	Kissimmee	396	66722	43.2	1400	28.3038	-81.4127
365	Portland	146	66666	55.1	1199	43.6666	-70.2666
366	Oshkosh	407	66621	66.2	997	44.0241	-88.5611
367	New Braunfels	368	66394	115.1	584	29.7123	-98.1166
369	St. Cloud	395	66389	103.7	634	45.5512	-94.1666
370	Victoria	368	66094	85.9	743	28.8169	-96.9933
371	Eagan	395	66084	80.6	796	44.8177	-93.1669
372	Bayonne	397	65975	15	4192	40.6624	-74.1102
373	Rockville	106	65937	34.9	1749	39.0836	-77.1483
375	Schenectady	79	65936	28	2354	42.8141	-73.9372
376	Harlingen	368	65914	103.1	629	26.2123	-97.7123
377	Conroe	368	65871	136.2	411	30.3161	-95.4588
378	Johnson City	2	65813	111.2	592	36.3333	-82.3666
379	Yuba City	1	65773	37.7	4400	39.1347	-121.6261
380	Homestead	396	65524	37	1543	25.4711	-80.4681
381	Laguna Niguel	1	65448	38.4	1600	33.5319	-117.7025
382	San Clemente	1	65326	48.4	1300	33.4377	-117.6202
383	Skokie village	401	65112	26.1	2500	42.0333	-87.7427
384	Marysville	399	65087	42.1	524	40.2338	-83.3663
385	East Orange	397	65078	10.1	6323	40.765	-74.2118
386	Youngstown	333	65062	87.8	893	41.1123	-80.6512
387	Delray Beach	396	65055	39.8	1600	26.4591	-80.083
388	Shawnee	359	64599	108.3	560	39.0127	-94.7658
389	Conway	393	64490	90.7	475	35.0872	-92.4533
390	Pico Rivera	1	64235	21.4	2700	33.9888	-118.0891
391	Janesville	407	64009	87.7	724	42.6838	-89.0163
392	Lodi	1	63950	35.2	1700	38.1288	-121.2808
